,refebibl-id,type-code,type-name,title,author,journal-name,pubi-year,volume,isseue,serno,page,pubilisher,doi,arti-id,degree,university,department,artiId,url,citation-day,site-name,registration-day,conference-name,modern_liter,grouped_title
11570,REF058662038,1,학술지(정기간행물),1990년대 비평의 성과와 과제,조남현,문학동네,1995,4,,,-,문학동네,,,,,,ART002712146,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
11575,REF058662043,1,학술지(정기간행물),창비와 '신경숙'이 만났을 때 - 1990년대 한국 문학장의 재편과 여성문학의 발흥,천정환,역사비평,2015,,112,,278-301,역사문제연구소,,ART002024851,,,,ART002712146,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
11577,REF058662045,1,학술지(정기간행물),1990년대 페미니스트 여성 대중의 등장과 잡지 『페미니스트저널 if』의 정치학,허윤,상허학보,2018,53,,,85-117,상허학회,,ART002359932,,,,ART002712146,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
11578,REF058662046,1,학술지(정기간행물),『늪을 건너는 법』 혹은 포스트모던 로만스-소설의 탄생- 한국문학의 1990년대를 보는 한 관점,황종연,문학동네,2016,89,,,-,문학동네,,,,,,ART002712146,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
11586,REF061563514,3,단행본,한국 현대사 산책 1990년대편 1-3당합당에서 스타벅스까지,강준만,,2006,,,,16-348,인물과사상사,,,,,,ART002883403,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
11627,REF061563582,1,학술지(정기간행물),박완서와 근대문학사 -서사의 힘으로 1990년대에 맞선 작가-,이상경,여성문학연구,2011,,25,,7-27,한국여성문학학회,,ART001566244,,,,ART002883403,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
11628,REF061563583,1,학술지(정기간행물),세계화와 탈냉전에 대응하는 소설의 형식 : 기억으로 발언하기 - 1990년대 박완서 자전소설의 의미 연구 -,이선미,상허학보,2004,12,,,403-432,상허학회,,ART001141767,,,,ART002883403,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
11631,REF061563590,1,학술지(정기간행물),‘문학주의’ 시대의 ‘포스트모더니즘’ —1990년대 비평이 ‘포스트모더니즘’과 접속하는 방식,조연정,대중서사연구,2018,24,4,,329-374,대중서사학회,http://dx.doi.org/10.18856/jpn.2018.24.4.011,ART002406161,,,,ART002883403,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
11854,REF061679594,1,학술지(정기간행물),박완서 문학의 세대론적 특성과 의미－1990년대 자전소설을 중심으로,김영미,상허학보,2020,60,,,145-182,상허학회,http://dx.doi.org/10.22936/sh.60..202010.005,ART002647180,,,,ART002874882,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
11892,REF061607180,1,학술지(정기간행물),세계화와 탈냉전에 대응하는 소설의 형식 : 기억으로 발언하기 - 1990년대 박완서 자전소설의 의미 연구 -,이선미,상허학보,2004,12,,,403-432,상허학회,,ART001141767,,,,ART002875716,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
11913,REF064158697,1,학술지(정기간행물),1990년대 문학지형과 여성문학 담론,서영인,대중서사연구,2018,24,2,,9-40,대중서사학회,http://dx.doi.org/10.18856/jpn.2018.24.2.001,ART002348574,,,,ART002917858,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
11924,REF064158708,1,학술지(정기간행물),비극적으로 아름다워야 한다는 조건 －1990년대 여성문학의 제도 문학 편입 맥락과 그 과정,한경희,현대소설연구,2021,,83,,39-85,한국현대소설학회,,ART002759077,,,,ART002917858,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
11925,REF064158709,1,학술지(정기간행물),"1990년대 페미니즘의 대중화, 그 직전의 풍경",허주영,민족문학사연구,2022,,78,,171-205,민족문학사연구소,,ART002839003,,,,ART002917858,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
12141,REF064233834,1,학술지(정기간행물),박완서 문학의 세대론적 특성과 의미－1990년대 자전소설을 중심으로,김영미,상허학보,2020,60,,,145-182,상허학회,http://dx.doi.org/10.22936/sh.60..202010.005,ART002647180,,,,ART002906551,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
12168,REF061845017,1,학술지(정기간행물),1990년대 페미니스트 페다고지와 문학 비평의 접점: 조한혜정의 「글 읽기와 삶 읽기」를 읽고,김민지,한국여성학,2020,36,1,,27-57,한국여성학회,http://dx.doi.org/10.30719/JKWS.2020.03.36.1.27,ART002572845,,,,ART002839005,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
